PartNum,method,part_type,avg_forecasted_monthly_demand
0592060,exponential_smoothing,highly_variable,1.0
059492,average_fallback,insufficient_history,2.0
0595254,average_fallback,insufficient_history,1.0
0595280,average_fallback,insufficient_history,1.0
059726,average_fallback,insufficient_history,1.0
06 - 0400 - 51,average_fallback,insufficient_history,6.0
06-D300-51,average_fallback,insufficient_history,1.0
0600081,exponential_smoothing,highly_variable,2.57
0600437,exponential_smoothing,highly_variable,5.7
0600750,average_fallback,insufficient_history,36.0
0601715,average_fallback,insufficient_history,1.0
0608690,average_fallback,insufficient_history,22.0
0608733,average_fallback,insufficient_history,1.0
0608754,exponential_smoothing,highly_variable,0.86
0608761,average_fallback,insufficient_history,16.0
0608764,exponential_smoothing,highly_variable,2.0
0608930,average_fallback,insufficient_history,12.0
0610011,average_fallback,insufficient_history,12.0
0612574,average_fallback,insufficient_history,12.0
0612772,exponential_smoothing,highly_variable,9.6
0612867,average_fallback,insufficient_history,6.0
0616350,average_fallback,insufficient_history,12.0
0616872,exponential_smoothing,highly_variable,4.75
0616881,exponential_smoothing,highly_variable,1.85
0618595,exponential_smoothing,highly_variable,1.64
0619104,average_fallback,insufficient_history,12.0
0620602,exponential_smoothing,highly_variable,19.93
0620979,average_fallback,insufficient_history,6.0
0626852,average_fallback,insufficient_history,3.0
0631382,average_fallback,insufficient_history,20.0
0635607,exponential_smoothing,highly_variable,0.45
0643939,exponential_smoothing,moderate,2.67
0643940,average_fallback,insufficient_history,2.0
067497012,average_fallback,insufficient_history,1.0
0682164,average_fallback,insufficient_history,12.0
0682165,exponential_smoothing,moderate,7.0
0682667-534 19GrHTckGsSlntSt,average_fallback,insufficient_history,36.0
0690477,average_fallback,insufficient_history,1.0
0690711,exponential_smoothing,highly_variable,3.79
06F604,average_fallback,insufficient_history,20.0
0700980,average_fallback,insufficient_history,2.0
07011171,exponential_smoothing,highly_variable,0.78
07012701,average_fallback,insufficient_history,1.0
0701477,average_fallback,insufficient_history,4.0
07022053,average_fallback,insufficient_history,3.0
0703313,average_fallback,insufficient_history,20.0
0705080,average_fallback,insufficient_history,1.0
0709915,average_fallback,insufficient_history,50.0
0711306,average_fallback,insufficient_history,5.0
0712315,exponential_smoothing,highly_variable,0.91
0712316,exponential_smoothing,highly_variable,0.64
0712317,average_fallback,insufficient_history,4.0
0712539,average_fallback,insufficient_history,2.0
0712659,average_fallback,insufficient_history,3.0
0712824,exponential_smoothing,highly_variable,1.12
0712976,exponential_smoothing,highly_variable,0.94
0716282,exponential_smoothing,highly_variable,0.19
0717066,average_fallback,insufficient_history,20.0
0717070,average_fallback,insufficient_history,50.0
0718984,average_fallback,insufficient_history,6.0
0729704,average_fallback,insufficient_history,1.0
0729742,exponential_smoothing,highly_variable,2.4
0730000,average_fallback,insufficient_history,1.0
073562,average_fallback,insufficient_history,3.0
0747384,exponential_smoothing,moderate,15.0
075CVRA,average_fallback,insufficient_history,4.0
0773189,average_fallback,insufficient_history,1.0
0774682,average_fallback,insufficient_history,6.0
0776679,average_fallback,insufficient_history,6.0
0780323,exponential_smoothing,highly_variable,2.0
0782565,average_fallback,insufficient_history,1.0
079974,average_fallback,insufficient_history,20.0
08-B  717,average_fallback,insufficient_history,20.0
0803867,exponential_smoothing,highly_variable,9.97
0803915,average_fallback,insufficient_history,4.0
0803927,average_fallback,insufficient_history,2.0
0803933,average_fallback,insufficient_history,18.0
0803947,average_fallback,insufficient_history,4.0
0803949,average_fallback,insufficient_history,36.0
0803957,exponential_smoothing,highly_variable,25.5
0803958,average_fallback,insufficient_history,18.0
08042351,average_fallback,insufficient_history,1.0
0804425,exponential_smoothing,highly_variable,4.55
080SKA,exponential_smoothing,highly_variable,0.93
